COPD_number,Some college or associate's degree 2014-18,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),19-Oct,High school diploma only 2014-18,Employed_2018,Family Medicine/General Practice Primary Care (2019),Active Physicians per 100000 Population 2018 (AAMC),CI90UBINC_2018,Percent of Population Aged 60+,Median_Household_Income_2018,R_DOMESTIC_MIG_2018,Hawaiian/Pacific Islander-alone pop,Bachelor's degree or higher 2014-18,R_INTERNATIONAL_MIG_2018,Total Specialist Physicians (2019),Unemployed_2018,Total physician assistants (2019),anycondition_prevalence,N_POP_CHG_2018,Active Primary Care Physicians per 100000 Population 2018 (AAMC),White-alone pop,diabetes_number,Two or more races pop,GQ_ESTIMATES_2018,CI90LBINC_2018,CKD_prevalence,Less than a high school diploma 2014-18,county_pop2018_18 and older,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),70-79,80+,0-9,Total nurse practitioners (2019),diabetes_prevalence,Heart disease_prevalence,50-59,CKD_number,Active General Surgeons per 100000 Population 2018 (AAMC),COPD_prevalence,POP_ESTIMATE_2018,Obesity_prevalence,Asian-alone pop,20-29,Native American/American Indian-alone pop,Civilian_labor_force_2018,Population Aged 60+,40-49,30-39,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Black-alone pop,R_death_2018,60-69,anycondition_number,R_birth_2018,Heart disease_number,Internal Medicine Primary Care (2019)
734,1869,81.7,0.101864298,903,2600,3916,3.956791311,263.2,54557,27.0,49399,515,4,1049,0,12.46988777,124,2.230403684,46.5,113,90.3,6036,1107,202,1666,44241,3.9,1179,7485,6.3,795,577,812,4.75154505,14.8,9.3,1266,293,7.3,9.8,9038,37.0,57,1107,44,4040,2400,1213,1251,231.8,555,2695,11.1,1114,3483,10.4,698,4.50749517
12803,71771,91.7,3.293976544,29948,41056,117172,158.1466782,278.8,78999,23.0,76530,443,2685,58452,2,398.0341004,5713,68.3142092,39.9,3255,100.6,222752,21777,16585,9300,74061,2.8,10152,214553,6.1,21751,9778,30843,108.73703,10.1,6.5,34984,5976,6.9,6.0,269805,29.7,14730,41468,4669,122885,59433,29901,36139,246.3,426,8384,8.8,34993,85526,11.6,13982,134.1937401
2289,3084,72.9,0.409058988,2129,5285,4360,7.402019782,230.9,33017,20.6,30029,5,10,851,3,25.15128406,294,3.841258687,64.1,-15,77.3,15940,2604,274,1936,27041,4.4,3146,13625,7.6,1341,526,2076,11.43027686,19.1,13.0,2338,594,8.3,16.8,17408,43.5,66,2244,130,4654,3649,2423,2419,214.6,48,988,9.8,1912,8737,11.9,1768,7.694204774
7975,23472,87.6,1.690199246,15892,29465,60206,70.69493098,287.0,66439,21.7,62247,350,43,17640,2,238.3063562,2033,44.4029427,41.5,894,97.8,111316,9428,2269,955,58055,3.0,7278,88955,6.7,8452,4096,15179,51.87972687,10.6,7.6,16816,2639,7.9,9.0,117327,30.6,1053,13545,870,62239,24717,14215,14075,249.7,163,1776,7.9,15057,36873,11.7,6739,87.03352369
11009,50020,91.7,2.755327353,27050,33282,106375,132.2856621,278.8,65241,22.3,62262,191,712,48346,56,332.9453715,5295,57.14309336,33.1,4035,100.6,195016,16961,8975,5720,59283,2.8,11004,181775,6.1,17317,8274,24496,90.95575184,9.3,6.2,26368,5054,6.9,6.1,225685,25.1,10474,40511,7623,111670,47353,25417,28415,246.3,273,2885,7.5,27837,60192,10.3,11305,112.2496404
1227,5064,84.8,1.6630909,3147,5239,12692,15.78477503,240.4,56307,26.4,51774,159,20,6067,53,27.95159793,384,11.78752147,38.6,135,92.8,24024,1997,494,1074,47241,3.0,1118,21141,8.6,2271,1287,2389,13.80073677,9.4,7.4,3310,627,9.2,5.8,25741,29.2,382,3551,607,13076,6595,2547,3054,219.1,282,214,8.8,4185,8159,9.2,1573,9.891014299
614,2948,96.0,0.269880537,1428,2965,6667,7.450402848,302.7,58323,27.9,53540,270,171,1581,42,19.93928406,220,3.850578996,43.5,-34,104.9,11163,1056,217,237,48757,3.3,771,9116,6.6,1022,748,1604,6.120125557,11.6,8.0,1564,302,7.4,6.7,11924,33.9,104,1387,165,6887,3359,1144,1409,265.0,5,104,11.6,1618,3969,12.0,725,6.832015161
1632,2762,89.4,0.395695724,1243,4422,3940,8.768899876,263.4,37988,31.1,34768,30,3,1395,4,19.80598417,258,4.720084703,60.6,-131,100.1,11889,1907,204,1103,31548,4.2,1446,10633,9.2,1338,762,1060,6.656167351,17.9,12.4,1828,444,10.5,15.3,12760,43.1,41,1318,49,4198,4109,1672,1380,231.6,136,574,13.7,2159,6440,7.8,1323,6.896411183
366,1211,81.7,0.057074663,572,1686,2205,2.216993937,263.2,56403,28.8,50858,209,0,722,0,6.986889982,81,1.249697306,44.3,-1,90.3,4970,485,44,9,45313,3.2,293,4176,6.3,546,264,422,2.662295213,11.6,8.4,841,132,7.3,8.8,5064,31.6,8,524,20,2286,1476,625,478,231.8,174,22,13.6,792,1848,6.1,350,2.525553833
751,1435,81.7,0.167887871,2839,1404,6458,6.521394487,263.2,57612,18.4,52845,68,20,4127,36,20.55227353,271,3.676044841,35.1,7,90.3,10903,1169,543,4279,48078,2.5,317,13184,6.3,1080,629,971,7.831269647,8.9,5.7,1342,336,7.3,5.7,14896,27.4,949,4137,77,6729,2733,995,1418,231.8,169,2404,6.6,1485,4623,5.8,748,7.429038289
1208,4619,77.9,0.735035938,2500,5375,10259,13.46112425,218.2,54023,27.4,50893,112,10,2740,16,25.45840574,313,5.313437754,45.6,-48,84.8,18819,1806,269,818,47763,3.3,1096,15568,6.5,1723,1259,2186,11.97236502,11.6,8.4,2840,513,6.9,7.8,19660,36.7,233,2405,54,10572,5519,1943,2048,193.1,362,275,11.4,2756,7099,10.4,1300,7.960812954
245,432,72.9,0.050168942,254,518,775,0.907818947,230.9,49990,27.8,45146,316,0,245,0,3.084673223,40,0.471110254,52.7,3,77.3,2080,281,28,57,40302,4.0,337,1695,7.6,218,121,228,1.401863574,16.6,12.2,343,69,8.3,14.5,2135,37.4,2,232,10,815,601,262,200,214.6,311,15,13.1,277,894,9.4,206,0.943653906
5393,21811,87.2,1.528500017,15441,15626,53047,49.48416633,284.4,67125,16.2,63274,217,88,19254,82,174.7884726,2440,20.36910183,38.4,-8,99.6,90149,6990,2092,5645,59423,2.5,4672,81851,5.8,5528,3234,12115,40.56655393,8.5,5.7,11847,2055,7.0,6.6,104143,31.8,2944,22520,479,55487,16887,10987,12642,240.5,100,8391,6.9,9829,31419,10.2,4633,78.88531373
1519,3596,81.7,0.176171812,1537,4745,7409,6.84317382,263.2,40622,29.9,37550,214,5,1495,9,21.56636598,234,3.857428632,53.5,-46,90.3,14472,1902,183,1068,34478,4.0,2145,13019,6.3,1690,941,1370,8.217680978,14.6,10.7,2400,520,7.3,11.7,15631,38.7,31,1677,51,7643,4703,1998,1567,231.8,145,889,12.5,2451,6969,7.1,1398,7.795602678
10057,33323,83.7,2.788074059,21878,27141,78810,77.69241423,292.7,72586,22.3,68380,133,162,43370,44,327.4118722,3326,32.13470925,41.3,1216,93.7,144560,14599,5164,8225,64174,2.8,7391,133324,7.1,12336,7053,18983,86.78958371,11.0,7.0,22123,3692,8.3,7.5,167995,31.9,5342,25620,571,82136,36821,18342,20965,248.6,222,12196,8.8,20695,55089,10.5,9308,113.6212036
2554,8006,66.5,0.691044496,5257,9180,15549,12.70042006,224.8,51337,25.0,47097,44,30,4972,5,44.78972526,603,7.720407242,48.3,54,72.9,35040,3997,678,1670,42857,3.5,3564,29524,5.4,3398,1865,4226,13.08095699,13.5,8.9,4990,1028,6.2,8.6,37924,36.2,306,4506,325,16152,9428,4365,4529,199.9,194,1545,12.3,4788,14261,10.4,2631,14.34941343
59738,204368,80.1,9.680554525,111623,175335,470411,369.3778408,265.2,57572,18.8,55733,66,1158,183280,60,1298.309578,17433,271.8139111,47.0,12539,86.8,577732,98334,28365,20814,53894,3.1,65724,735505,6.0,57898,29302,124557,551.3901102,13.4,7.1,123767,22635,6.9,8.1,950181,33.9,48120,144762,4301,487844,171837,113954,140516,240.7,162,290505,9.2,103802,345486,13.8,52448,517.2628097
1147,3540,66.5,0.314946025,2252,4179,7338,5.788262323,224.8,48969,25.4,44917,232,12,1839,32,20.41307909,317,3.51860349,49.6,99,72.9,13168,1929,288,198,40865,3.7,1843,13134,5.4,1457,830,2283,5.961693403,14.7,8.9,2249,480,6.2,8.7,17284,39.3,136,2009,176,7655,4255,1924,2039,199.9,115,3504,10.6,2241,6514,12.4,1174,6.539797006
2323,4680,61.2,0.819273538,3164,6761,9609,9.078212842,191.3,40138,22.8,36408,399,12,2071,2,27.97943265,521,0.88547746,60.4,-388,65.9,16418,3226,287,729,32678,4.2,3535,18997,6.7,1957,1206,3052,17.26267273,17.0,10.8,3215,803,7.1,12.2,24715,43.5,98,3010,67,10130,5805,2992,3052,174.8,419,7833,13.5,3067,11465,11.5,2052,9.756803046
370,1372,88.0,0.314817308,766,1379,2602,3.299959993,247.1,47582,27.7,42890,3,5,1004,35,6.476241757,110,2.198099416,40.1,-8,91.5,4901,562,167,645,38198,3.6,299,4540,9.4,478,368,819,2.833355769,12.4,8.7,793,162,9.8,8.2,5972,30.5,23,674,856,2712,1684,594,666,236.2,380,20,10.0,814,1822,14.4,396,1.933877747
1787,3760,61.2,0.729108698,3100,5155,9033,8.079113553,191.3,43917,22.3,39833,44,6,2225,46,24.90016675,410,0.788026573,54.1,53,65.9,17748,2386,346,337,35749,3.5,3212,16617,6.7,1689,766,2843,15.3628358,14.4,9.1,2981,589,7.1,10.8,21995,38.1,61,2890,95,9443,4899,2698,2536,174.8,131,3739,11.6,2492,8994,12.0,1517,8.683021768
766,1771,79.0,0.196248987,1409,2995,4954,4.401124827,273.1,52260,23.8,48179,377,8,912,12,17.47742005,145,1.06971784,48.9,-109,86.6,9272,933,170,788,44098,3.2,850,7682,6.3,824,501,1140,5.496580239,12.1,8.5,1330,247,7.0,10.0,9855,36.5,45,1379,49,5099,2396,1023,1081,236.3,106,311,10.6,1168,3756,10.9,657,6.130367952
924,2504,79.0,0.273095749,1911,4051,6827,6.124507953,273.1,64293,22.2,58855,357,11,1747,3,24.32119112,169,1.488595683,43.2,51,86.6,13451,1142,111,405,53417,2.9,934,10543,6.3,1040,628,1648,7.648919472,10.8,7.6,2012,304,7.0,8.8,13714,31.4,30,1601,54,6996,3017,1688,1544,236.3,117,57,8.9,1642,4550,13.4,801,8.530884434
573,1385,81.7,0.079368044,730,2055,3732,3.082952469,263.2,56726,29.9,51124,221,2,1027,9,9.715971417,117,1.737829469,52.1,42,90.3,4806,905,196,0,45522,3.9,726,5806,6.3,727,356,633,3.702188564,15.6,9.5,1140,228,7.3,9.9,7042,39.0,32,808,125,3849,2107,787,723,231.8,205,1881,11.8,1138,3027,7.7,554,3.512035958
84995,379838,66.5,36.18943754,284659,308714,909581,665.1106571,224.8,55616,16.2,54210,260,4496,337748,57,2345.601441,31319,404.3114408,47.1,27208,72.9,1675380,198276,47052,42261,52804,3.1,197870,1478380,5.4,102918,55947,281600,685.0390663,13.4,6.6,225144,45733,6.2,5.7,1986049,37.7,65187,308094,24235,940900,307269,249508,298637,199.9,400,169699,7.0,179542,696450,14.0,97014,751.467097
2544,13492,87.1,0.558479103,9125,9440,29308,23.64280057,279.6,86938,17.2,80063,169,269,7486,8,91.42722938,1561,12.31609765,36.5,1338,96.2,54070,4857,2145,289,73188,2.9,7658,45710,6.2,3349,1821,8382,23.97882142,10.6,5.6,8110,1332,7.2,5.6,61537,28.3,2222,8227,1896,30869,10074,7839,8463,243.8,164,935,5.5,6221,16694,12.9,2562,34.78904784
705,2516,88.9,0.28049022,1594,2025,10926,8.581740105,285.7,98749,24.9,89034,171,22,8606,59,22.97183387,437,7.081590164,27.3,-2,95.4,17043,1100,275,72,79319,2.5,501,15246,7.1,1631,546,1397,9.123811092,7.2,5.3,2713,380,7.8,4.6,17950,20.7,335,2194,87,11363,4417,2531,2588,262.5,70,188,2.5,2756,4169,8.2,814,7.888393494
2113,6258,86.4,0.794055733,5424,9018,17645,19.55884648,264.9,57875,22.5,55245,274,18,2484,2,54.90925246,524,10.9854327,43.5,140,94.6,33722,2721,321,464,52615,3.4,3927,24486,7.1,2368,1616,5654,18.15581567,11.1,8.4,4565,824,7.9,8.6,34709,37.2,181,3657,268,18169,7761,3700,3569,238.3,116,199,9.4,4156,10648,16.5,2065,18.22148945
777,3314,77.9,0.517441372,1821,3650,7950,9.476193267,218.2,56468,27.2,53147,232,3,1910,2,17.92188889,161,3.740487208,42.4,28,84.8,13354,1136,136,398,49826,3.2,738,10548,6.5,1049,1033,1774,8.428155234,10.8,8.0,1818,337,6.9,7.4,13840,34.0,118,1539,51,8111,3787,1447,1538,193.1,41,178,12.8,1821,4474,12.2,847,5.604153168
207,482,84.8,0.17715688,551,599,885,1.681436352,240.4,35859,12.2,32341,125,1,260,14,2.97747879,48,1.255638237,54.7,-12,92.8,682,359,104,0,28823,4.5,253,1968,8.6,110,66,341,1.470091302,18.3,10.6,378,89,9.2,10.5,2742,45.8,12,376,1930,933,347,365,348,219.1,100,13,8.7,207,1077,8.0,209,1.053617234
1239,1881,71.2,0.253684477,1434,4315,4259,4.691906967,217.1,35582,28.0,32613,17,4,949,3,15.9293758,235,1.343774212,59.3,-158,77.2,6339,1994,165,45,29644,4.8,1703,9727,6.9,1308,683,1367,6.372252664,20.5,11.7,1754,464,7.6,12.7,12277,43.2,26,1410,63,4494,3542,1335,1260,196.7,15,5680,14.8,1726,5764,10.2,1139,5.739297334
2071,5723,75.0,0.742787654,2886,7120,7891,14.22269541,207.6,36347,20.2,33257,139,17,1947,14,30.69907609,429,1.764120677,58.9,-499,79.9,11188,3458,404,4098,30167,4.1,3550,20043,6.5,1810,902,3021,11.01520327,17.3,9.9,3212,812,7.0,10.3,25439,47.4,162,3415,200,8320,5393,3304,3830,188.2,134,13468,12.3,3059,11803,12.0,1993,7.588251143
3104,5617,77.8,0.579534594,4408,9664,15902,12.5280261,253.1,54811,26.1,51249,100,53,4454,14,50.91337398,506,6.007002058,48.0,284,85.1,30553,3815,682,283,47687,3.6,4008,26577,7.4,2962,1581,3864,28.96665086,14.4,9.8,4978,965,8.1,11.7,34117,35.3,169,3763,283,16408,8761,4071,3891,225.8,407,2377,11.7,4599,12763,10.4,2607,18.07643992
3358,7260,88.2,0.678107153,5123,15712,19550,24.54816047,320.5,50189,27.0,46751,224,11,5136,3,91.21052349,953,19.31753494,47.7,-187,100.8,42730,4445,444,775,43313,3.4,3239,34460,7.2,3866,2496,4996,23.86323817,12.9,8.8,6237,1184,8.7,9.7,43641,33.5,121,4835,110,20503,11961,4996,4847,273.3,65,225,11.8,6245,16443,9.8,3042,35.35698404
7530,29250,66.5,2.703626857,19181,24400,67878,49.68883624,224.8,80095,24.9,76523,525,137,33117,39,175.2343082,2254,30.20514671,40.0,7583,72.9,138225,13102,2879,1186,72951,3.0,7102,114699,5.4,11936,5506,17763,51.17764032,11.4,7.2,20906,3431,6.2,6.6,148373,31.4,2071,16201,1288,70132,32206,18597,18044,199.9,519,3773,8.2,20239,45927,10.7,8282,56.1403206
1964,3206,72.9,0.455961661,2566,5573,9263,8.250734826,230.9,50250,21.3,45661,203,7,1725,5,28.03512844,364,4.281697126,55.4,88,77.3,17453,2297,362,505,41072,3.7,2554,14712,7.6,1379,778,2565,12.74087157,15.6,10.5,2820,544,8.3,13.3,19404,39.1,201,2360,42,9627,4112,2323,2330,214.6,145,1339,10.3,2283,8148,12.3,1549,8.576421727
2824,7769,75.0,1.142431296,5102,9543,15074,21.87496288,207.6,49852,24.2,45335,143,22,5638,0,47.21616617,886,2.713274327,45.9,-294,79.9,25071,4397,671,524,40818,3.7,4129,29707,6.5,3036,1685,5171,16.94173683,14.8,9.3,5248,1096,7.0,9.5,39126,35.9,280,4550,213,15960,9680,4627,4669,188.2,70,12869,13.9,5038,13626,12.2,2764,11.67097426
1038,5185,96.0,0.476613917,2767,4888,11177,13.15754639,302.7,62099,27.3,58761,128,3,3030,25,35.21313685,357,6.800192259,38.6,76,104.9,20567,1608,208,359,55423,3.2,1253,15867,6.6,1743,1353,2844,10.8082526,10.1,7.7,2795,505,7.4,6.5,21058,31.8,129,2017,40,11534,5688,2249,2422,265.0,146,111,10.6,2868,6123,12.7,1222,12.06546253
984,2492,79.0,0.251509356,1189,4279,4677,5.640406552,273.1,53992,21.6,48920,181,14,1442,46,22.39876359,152,1.370932148,52.0,40,86.6,10879,1258,143,3460,43848,3.1,1212,10457,6.3,836,642,1193,7.044323533,12.0,8.2,1755,322,7.0,9.4,12630,38.3,49,1835,69,4829,2717,1880,1942,236.3,314,1476,7.2,1358,5439,9.4,853,7.856575062
1680,10274,96.0,0.917670778,5315,8233,20909,25.33349408,302.7,67226,18.6,61341,183,12,5979,40,67.79925128,757,13.09306654,37.9,418,104.9,37129,2725,805,1049,55456,2.7,2027,30290,6.6,2203,1700,5772,20.81017198,9.0,6.0,5197,812,7.4,5.5,40545,32.8,478,5366,265,21666,7326,4839,6192,265.0,173,1856,7.8,3961,11491,13.7,1822,23.23079962
1530,3915,61.2,0.608778415,2589,3862,6534,6.745756781,191.3,40626,25.0,36761,349,4,1679,12,20.79070527,393,0.65797263,56.0,-117,65.9,10131,2332,141,358,32896,4.2,2893,13744,6.7,1543,931,2462,12.82739166,17.0,10.1,2290,582,7.1,11.1,18365,42.5,71,2150,63,6927,4680,2124,2001,174.8,229,7955,12.3,2275,7692,12.6,1382,7.249997489
